"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","FileSize","RelativeName","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist","System.Collections.Generic.List`1[System.String]",,"2.66 MB  2,722.82 KB ",".\CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist.pdf","CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist.pdf","2788172","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-I---FUNDAMENTALS_1964_Mathematical-Theory-of-Probability-and-Statist.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:02","2022/6/2 0:43:02","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta","System.Collections.Generic.List`1[System.String]",,"3.43 MB  3,510.33 KB ",".\CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta.pdf","CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta.pdf","3594577","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-II---GENERAL-LABEL-S_1964_Mathematical-Theory-of-Probability-and-Sta.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:04","2022/6/2 0:43:04","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-","System.Collections.Generic.List`1[System.String]",,"1.81 MB  1,853.45 KB ",".\CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-.pdf","CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-.pdf","1897937","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-III---BASIC-PROPERTIES-OF-D_1964_Mathematical-Theory-of-Probability-.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:04","2022/6/2 0:43:04","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a","System.Collections.Generic.List`1[System.String]",,"3.29 MB  3,364.67 KB ",".\CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a.pdf","CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a.pdf","3445427","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-IV---EXAMPLES-OF-COMBINED-_1964_Mathematical-Theory-of-Probability-a.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:04","2022/6/2 0:43:04","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and","System.Collections.Generic.List`1[System.String]",,"2.75 MB  2,818.83 KB ",".\CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and.pdf","CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and.pdf","2886484","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-IX---ANALYSIS-OF-STATIST_1964_Mathematical-Theory-of-Probability-and.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:02","2022/6/2 0:43:02","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi","System.Collections.Generic.List`1[System.String]",,"1.83 MB  1,871.29 KB ",".\CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi.pdf","CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi.pdf","1916206","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-V---SUMMATION-OF-CHANCE-VARIABLE_1964_Mathematical-Theory-of-Probabi.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:02","2022/6/2 0:43:02","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab","System.Collections.Generic.List`1[System.String]",,"2.68 MB  2,745.06 KB ",".\CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab.pdf","CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab.pdf","2810946","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-VI---ASYMPTOTIC-DISTRIBUTION-OF-T_1964_Mathematical-Theory-of-Probab.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:02","2022/6/2 0:43:02","Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---l","File:             C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability.pdf
InternalName:
OriginalFilename:
FileVersion:
FileDescription:
Product:
ProductVersion:
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:
","CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability","System.Collections.Generic.List`1[System.String]",,"1.85 MB  1,896.00 KB ",".\CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability.pdf","CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability.pdf","1941502","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book","False","True","C:\Users\zcc\OneDrive\Laptop\home-page-2\book1\book\CHAPTER-VII---PROBABILITY-INFERENCE-_1964_Mathematical-Theory-of-Probability.pdf",".pdf","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 19:22:46","2022/6/2 11:22:46","2022/6/2 8:43:02","2022/6/2 0:43:02","Archive, ReparsePoint"
